Layer,Media (cpu) [s]
Block_0_Attention,0.010513651483334267
Block_1_Attention,0.009475583533334487
Block_2_Attention,0.009516630050005404
Block_3_Attention,0.009570944550002024
Block_4_Attention,0.009415950566668604
Block_5_Attention,0.009428567449998109
Block_6_Attention,0.009524133099999688
Block_7_Attention,0.009739902100000582
Block_8_Attention,0.009748083849995719
Block_9_Attention,0.009379548700000366
Block_10_Attention,0.009540325150000228
Block_11_Attention,0.00971449953333708
Block_0_MLP,0.014348886033334906
Block_1_MLP,0.013870342433330999
Block_2_MLP,0.013842807583329394
Block_3_MLP,0.013945878850003623
Block_4_MLP,0.013682457133333041
Block_5_MLP,0.013907250849998812
Block_6_MLP,0.013793558466664043
Block_7_MLP,0.01419107784999909
Block_8_MLP,0.013857136983335275
Block_9_MLP,0.013495679916661629
Block_10_MLP,0.01384529296666462
Block_11_MLP,0.01390707124999911
